,Date,return,Y1,predicted,binary,ticker,top,strat
1,2/07/2024,0.01610947,0.005794225,0.040685544,0,AAPL,1,0.01610947
2,3/07/2024,0.005794225,0.021389966,0.024845001,0,AAPL,1,0.005794225
3,5/07/2024,0.021389966,0.006517598,0.028788996,0,AAPL,1,0.021389966
4,8/07/2024,0.006517598,0.003767739,0.014754254,0,AAPL,1,0.006517598
5,9/07/2024,0.003767739,0.01862898,0.000303376,0,AAPL,0,0.003767739
6,10/07/2024,0.01862898,-0.023494679,0.013758401,0,AAPL,0,0
7,11/07/2024,-0.023494679,0.012966438,-0.035755969,0,AAPL,0,0
8,12/07/2024,0.012966438,0.016604678,-0.0100733,0,AAPL,0,0
9,15/07/2024,0.016604678,0.001790263,0.00097186,0,AAPL,0,0
10,16/07/2024,0.001790263,-0.025621424,-0.01542535,0,AAPL,0,0
11,17/07/2024,-0.025621424,-0.020748602,-0.038502395,0,AAPL,0,0
12,18/07/2024,-0.020748602,0.000579745,-0.048558799,0,AAPL,0,0
13,19/07/2024,0.000579745,-0.001561518,-0.028256943,0,AAPL,0,0
14,22/07/2024,-0.001561518,0.004677327,-0.009941632,0,AAPL,0,0
15,23/07/2024,0.004677327,-0.029175788,-0.001562653,0,AAPL,0,0
16,24/07/2024,-0.029175788,-0.004816136,-0.041224903,0,AAPL,0,0
17,25/07/2024,-0.004816136,0.002158693,-0.017569423,0,AAPL,0,0
18,26/07/2024,0.002158693,0.001283809,-0.005338853,0,AAPL,0,0
19,29/07/2024,0.001283809,0.002562685,-0.008346999,0,AAPL,0,0
20,30/07/2024,0.002562685,0.014879601,-0.006788361,0,AAPL,0,0
22,2/07/2024,0.005567612,0.003238936,0.022964552,0,MSFT,1,0.005567612
23,3/07/2024,0.003238936,0.014628698,0.015397584,0,MSFT,0,0.003238936
24,5/07/2024,0.014628698,-0.002827175,0.02235392,0,MSFT,0,0
25,8/07/2024,-0.002827175,-0.014474494,0.009767342,0,MSFT,0,0
26,9/07/2024,-0.014474494,0.014495963,-0.009902086,0,MSFT,0,0
27,10/07/2024,0.014495963,-0.025084083,0.017213278,0,MSFT,1,0
28,11/07/2024,-0.025084083,-0.002532398,-0.019248312,0,MSFT,0,-0.025084083
29,12/07/2024,-0.002532398,0.000903579,-0.001773688,0,MSFT,0,0
30,15/07/2024,0.000903579,-0.009828747,0.015640616,0,MSFT,1,0
31,16/07/2024,-0.009828747,-0.013437451,0.000900979,0,MSFT,1,-0.009828747
32,17/07/2024,-0.013437451,-0.0071276,0.001827263,0,MSFT,1,-0.013437451
33,18/07/2024,-0.0071276,-0.007430425,0.011700206,0,MSFT,1,-0.0071276
34,19/07/2024,-0.007430425,0.01324948,0.015182723,0,MSFT,1,-0.007430425
35,22/07/2024,0.01324948,0.004302834,0.041571609,0,MSFT,1,0.01324948
36,23/07/2024,0.004302834,-0.036513383,0.030114771,0,MSFT,1,0.004302834
37,24/07/2024,-0.036513383,-0.024785879,-0.011352058,0,MSFT,0,-0.036513383
38,25/07/2024,-0.024785879,0.016286337,-0.00533826,0,MSFT,0,0
39,26/07/2024,0.016286337,0.003427285,0.035729012,0,MSFT,1,0
40,29/07/2024,0.003427285,-0.008968453,0.03155138,0,MSFT,1,0.003427285
41,30/07/2024,-0.008968453,-0.01086465,0.010860352,0,MSFT,1,-0.008968453
43,2/07/2024,-0.013200215,0.044717557,-0.009746029,0,NVDA,0,0
44,3/07/2024,0.044717557,-0.019283561,0.080226828,0,NVDA,1,0
45,5/07/2024,-0.019283561,0.018659717,0.036867286,0,NVDA,1,-0.019283561
46,8/07/2024,0.018659717,0.024502404,0.064332622,0,NVDA,1,0.018659717
47,9/07/2024,0.024502404,0.026513992,0.076350268,0,NVDA,1,0.024502404
48,10/07/2024,0.026513992,-0.057276161,0.068978807,0,NVDA,1,0.026513992
49,11/07/2024,-0.057276161,0.014339428,-0.075134175,0,NVDA,0,-0.057276161
50,12/07/2024,0.014339428,-0.006209295,0.007532782,0,NVDA,1,0
51,15/07/2024,-0.006209295,-0.016326907,-0.000442629,0,NVDA,0,-0.006209295
52,16/07/2024,-0.016326907,-0.068535124,-0.025547022,0,NVDA,0,0
53,17/07/2024,-0.068535124,0.025934184,-0.077828113,0,NVDA,0,0
54,18/07/2024,0.025934184,-0.02644281,0.009160446,0,NVDA,0,0
55,19/07/2024,-0.02644281,0.046473767,-0.042321174,0,NVDA,0,0
56,22/07/2024,0.046473767,-0.007719573,0.060459383,0,NVDA,1,0
57,23/07/2024,-0.007719573,-0.070456394,0.030491242,0,NVDA,1,-0.007719573
58,24/07/2024,-0.070456394,-0.017393289,-0.071950728,0,NVDA,0,-0.070456394
59,25/07/2024,-0.017393289,0.006922889,-0.000911269,0,NVDA,0,0
60,26/07/2024,0.006922889,-0.013087222,0.042180084,0,NVDA,1,0
61,29/07/2024,-0.013087222,-0.073040006,0.008561298,0,NVDA,1,-0.013087222
62,30/07/2024,-0.073040006,0.12055343,-0.06769248,0,NVDA,0,-0.073040006
64,2/07/2024,0.01142559,0.004171123,0.016905078,0,GOOG,0,0
65,3/07/2024,0.004171123,0.024095049,0.016081302,0,GOOG,0,0
66,5/07/2024,0.024095049,-0.007739872,0.045862773,0,GOOG,1,0
67,8/07/2024,-0.007739872,-0.000209983,0.016805521,0,GOOG,1,-0.007739872
68,9/07/2024,-0.000209983,0.011589799,0.013220973,0,GOOG,1,-0.000209983
69,10/07/2024,0.011589799,-0.028215371,0.035737813,0,GOOG,1,0.011589799
70,11/07/2024,-0.028215371,-0.002780179,0.000357458,0,GOOG,1,-0.028215371
71,12/07/2024,-0.002780179,0.007520657,0.021288834,0,GOOG,1,-0.002780179
72,15/07/2024,0.007520657,-0.014397222,0.052672854,0,GOOG,1,0.007520657
73,16/07/2024,-0.014397222,-0.015647418,0.026553728,0,GOOG,1,-0.014397222
74,17/07/2024,-0.015647418,-0.018793356,0.027252164,0,GOOG,1,-0.015647418
75,18/07/2024,-0.018793356,0.000948095,0.01853315,0,GOOG,1,-0.018793356
76,19/07/2024,0.000948095,0.021834724,0.04100613,0,GOOG,1,0.000948095
77,22/07/2024,0.021834724,0.001362584,0.075596888,0,GOOG,1,0.021834724
78,23/07/2024,0.001362584,-0.051580061,0.060942443,0,GOOG,1,0.001362584
79,24/07/2024,-0.051580061,-0.030334416,0.022467258,0,GOOG,1,-0.051580061
80,25/07/2024,-0.030334416,-0.002841649,0.038666986,0,GOOG,1,-0.030334416
81,26/07/2024,-0.002841649,0.014420145,0.060725238,0,GOOG,1,-0.002841649
82,29/07/2024,0.014420145,0.004256665,0.097655623,0,GOOG,1,0.014420145
83,30/07/2024,0.004256665,0.00747804,0.075461602,0,GOOG,1,0.004256665
