,AAPL,MSFT,NVDA,GOOG,AMZN,META,TSM,LLY,TSLA,AVGO
0,1,1,0,0,1,0,0,0,1,1
1,1,0,0,1,1,0,1,0,1,0
2,0,0,1,1,0,0,1,0,1,1
3,1,0,0,1,0,1,0,1,1,0
4,1,0,1,0,0,0,1,1,0,1
5,1,0,1,1,0,0,0,1,1,0
6,1,1,1,1,0,0,1,0,0,0
7,1,1,0,1,1,0,0,1,0,0
8,1,0,1,0,0,0,1,1,1,0
9,1,1,0,1,0,0,0,0,1,1
10,1,0,0,0,1,0,1,0,1,1
11,1,1,0,1,1,0,0,1,0,0
12,0,1,1,0,0,1,1,0,0,1
13,1,0,0,1,1,1,0,1,0,0
14,0,0,1,1,0,1,1,0,0,1
15,0,0,0,1,1,0,1,1,0,1
16,1,1,0,1,1,0,0,1,0,0
17,1,0,0,1,1,0,1,0,1,0
18,0,1,1,0,1,1,0,0,0,1
19,0,1,0,1,1,1,0,0,1,0
20,1,1,0,1,1,1,0,0,0,0
