ticker,v1_x,v1_y,IdealProfit,PredictProfit
WBD,0.321678729,0.168362182,1.379441531,1.183365127
ODFL,0.258979508,0.158447603,1.295607254,1.171690529
CMCSA,0.171313577,0.130500684,1.186862864,1.139398719
PYPL,0.244792243,0.125944032,1.277355906,1.134218686
KHC,0.142012705,0.110310619,1.152591292,1.116624861
GILD,0.191288409,0.102280127,1.21080861,1.107693724
GEHC,0.162974076,0.101955741,1.177006177,1.107334461
FAST,0.193640494,0.09834722,1.213659887,1.103345822
BKR,0.193633734,0.096393977,1.213651682,1.101192823
ADP,0.13965512,0.089155977,1.149877161,1.093251165
CTSH,0.193715741,0.086095554,1.213751215,1.089910469
EA,0.165639769,0.085727056,1.180147899,1.089508913
PAYX,0.147138366,0.085222011,1.158514252,1.088958801
ILMN,0.292720753,0.080871597,1.340068528,1.084231669
CSX,0.150897235,0.076690583,1.162877149,1.079707945
TSLA,0.457812929,0.075212947,1.580613289,1.078113708
AEP,0.13837675,0.069381988,1.148408132,1.071845563
CSGP,0.143294765,0.068573436,1.154069931,1.07097927
CSCO,0.101787341,0.06605821,1.107148002,1.0682889
AMD,0.248137507,0.065527234,1.281636155,1.067721816
XEL,0.166407049,0.061327521,1.181053751,1.063247093
CHTR,0.380376872,0.057663347,1.462835787,1.059358299
CEG,0.234196563,0.056066303,1.263892903,1.057667808
AMGN,0.109653674,0.055562752,1.115891542,1.057135352
ORLY,0.165339243,0.055299631,1.179793288,1.056857234
MELI,0.198852921,0.046754692,1.220002516,1.047864927
EXC,0.110301744,0.045232408,1.116614951,1.046270993
KDP,0.087376463,0.044409746,1.09130744,1.045410619
PEP,0.122262775,0.035678992,1.130051011,1.036323125
INTU,0.140074308,0.034627035,1.150359277,1.03523353
VRTX,0.095646543,0.034533172,1.100370062,1.035136366
AAPL,0.129711217,0.027190629,1.138499557,1.027563668
MNST,0.102961531,0.027096834,1.108448768,1.027467292
REGN,0.112605785,0.026840635,1.119190644,1.027204089
ADBE,0.103850703,0.019392756,1.109434807,1.019582017
WDAY,0.125071208,0.017183235,1.133229145,1.017331716
ROP,0.088511151,0.016619605,1.092546436,1.016758479
MDLZ,0.116684414,0.010838355,1.12376473,1.010897303
CPRT,0.120962412,0.010575603,1.128582491,1.010631722
CDW,0.145549551,0.010147719,1.156675047,1.010199382
ROST,0.08378713,0.010026646,1.087397395,1.010077081
MRNA,0.163697952,0.005790869,1.177858491,1.005807669
PANW,0.115392679,0.003949322,1.122314061,1.00395713
LIN,0.095191709,0.003471059,1.09986969,1.00347709
NFLX,0.06989178,0.001478111,1.07239212,1.001479204
PDD,0.159943568,0.001264077,1.173444649,1.001264877
HON,0.086124098,-0.000593299,1.08994158,0.999406877
CDNS,0.147005986,-0.0036211,1.158360897,0.996385448
INTC,0.207060094,-0.006743274,1.230056489,0.993279411
CTAS,0.14371528,-0.008355883,1.154555336,0.99167893
TMUS,0.094168141,-0.009087166,1.098744474,0.990953997
ABNB,0.084493517,-0.010405566,1.088165789,0.989648384
LLY,0.11828788,-0.013632787,1.125568093,0.986459719
IDXX,0.115363128,-0.015198137,1.122280895,0.984916772
GOOG,0.10910247,-0.015718952,1.115276627,0.984403946
ADSK,0.109956573,-0.019110183,1.116229595,0.981071259
AZN,0.100528961,-0.019840185,1.105755665,0.980355336
TEAM,0.187620377,-0.022572066,1.206375461,0.977680777
TTWO,0.065567597,-0.023069122,1.067764912,0.977194935
COST,0.096962733,-0.027177822,1.101819311,0.973188172
DXCM,0.181565996,-0.027852794,1.199093669,0.972531518
FTNT,0.082479404,-0.028135272,1.085976307,0.972256839
ON,0.458808708,-0.029076883,1.582188014,0.971341782
CCEP,0.086055749,-0.029967257,1.089867085,0.970477309
FANG,0.113708786,-0.031519591,1.120425794,0.968971973
DASH,0.229609202,-0.032676966,1.258108247,0.967851158
BKNG,0.111358236,-0.033809639,1.11779527,0.96675552
SBUX,0.196195045,-0.035855447,1.216764206,0.964779745
MAR,0.11017272,-0.036531808,1.11647089,0.964127426
GOOGL,0.10998071,-0.039080674,1.116256538,0.961673124
MSFT,0.076100726,-0.042227729,1.079071259,0.958651443
LULU,0.114823917,-0.0518918,1.121675912,0.94943159
SMCI,0.205421623,-0.057590775,1.228042726,0.944036192
DDOG,0.144072966,-0.065349421,1.154968379,0.936740089
ZS,0.097434457,-0.066144706,1.102339188,0.935995411
TXN,0.171758769,-0.067402506,1.187391363,0.934818856
DLTR,0.114625523,-0.07179877,1.1214534,0.930718166
VRSK,0.10942773,-0.07529677,1.115639441,0.927468201
ANSS,0.110352216,-0.075744869,1.11667131,0.927052696
SNPS,0.191882601,-0.075799279,1.211528276,0.927002257
ISRG,0.182240478,-0.077780797,1.19990271,0.925167204
QCOM,0.247224354,-0.080168667,1.280466358,0.922960661
BIIB,0.12439634,-0.081716968,1.132464623,0.921532745
AMZN,0.098252646,-0.084539323,1.103241479,0.918935519
TSM,0.245916464,-0.08968744,1.278792744,0.914216888
NVDA,0.328617367,-0.092202442,1.389046259,0.911920519
AVGO,0.289003744,-0.095788031,1.335096727,0.908656603
