,WBD,ODFL,CMCSA,PYPL,KHC,GILD,GEHC,FAST,BKR,ADP
0,1,1,0,1,1,0,0,1,0,0
1,1,0,1,1,1,0,1,0,0,0
2,0,1,0,1,0,1,0,1,0,0
3,0,0,0,0,1,1,0,0,0,0
4,1,0,1,0,0,1,1,0,0,1
5,0,1,0,0,0,1,1,1,1,0
6,0,1,0,1,0,1,0,1,1,0
7,0,1,1,1,0,0,0,1,0,1
8,0,1,1,0,0,0,0,1,1,1
9,1,1,0,1,0,0,1,1,0,0
10,1,0,1,0,1,1,0,0,0,1
11,1,0,0,0,0,1,0,0,0,0
12,1,1,0,0,0,0,0,0,1,0
13,0,0,0,1,0,0,1,1,0,1
14,1,0,0,0,0,0,0,0,0,1
15,0,1,0,0,1,1,0,0,0,0
16,0,1,0,0,0,1,0,1,1,1
17,1,0,1,1,0,0,0,1,1,0
18,1,0,1,1,0,0,1,0,1,0
19,1,1,0,1,1,0,0,0,0,1
20,0,1,0,1,1,0,1,0,0,1
